ano,titulo_livro,genero_livro,pais_primeira_edicao,nome_autor,nacionaldade_autor,genero_autor,faixa_etaria_autor,nome_pais_autor,nome_editora,sede_editora,site_editora,sigla_pais_iso2,indicador_vencedor,indicador_finalista,indicador_semifinalista
2024,8,Conto,Brasil,Deborah Christina Antunes,Brasileira,Feminino,de 40 a 50 anos,Brasil,Patuá,Brasil,www.editorapatua.com.br,BR,Não,Não,Não
2024,16,Conto,Brasil,Fabio Fernandes,Brasileira,Masculino,de 50 a 60 anos,Brasil,Caos e Letras,Brasil,www.caoseletras.com,BR,Não,Não,Não
2024,(Di)vagar,Poesia,Brasil,Camila Correia,Brasileira,Feminino,de 20 a 30 anos,Brasil,Ases da Literatura,Portugal,https://asesdaliteratura.com,PT,Não,Não,Não
2024,(Entre)linhas e guias,Romance,Brasil,Claudia Roberta Angst,Brasileira,Feminino,de 60 a 70 anos,Brasil,Folheando,Brasil,https://www.editorafolheando.com.br/,BR,Não,Não,Não
2024,(quase no fim),Conto,Brasil,Eduardo Chacon,Brasileira,Masculino,de 40 a 50 anos,Brasil,Caravana,Brasil,www.caravanagrupoeditorial.com.br,BR,Não,Não,Não
2024,(RE) Verso da palavra,Poesia,Brasil,Rony Santos,Brasileira,Masculino,de 50 a 60 anos,Brasil,Arribaçã,Brasil,www.arribacaeditora.com.br,BR,Não,Não,Não
2024,1+1=2 2-1=0,Romance,Brasil,Fernanda Caleffi Barbetta,Brasileira,Feminino,de 40 a 50 anos,Estados Unidos,Cepe,Brasil,https://editora.cepe.com.br/,BR,Não,Não,Não
2024,10 reais e 01 maço de cigarros,Romance,Brasil,Peter Larubia,Brasileira,Masculino,de 40 a 50 anos,Brasil,Patuá,Brasil,www.editorapatua.com.br,BR,Não,Não,Não
2024,1862 - A história de Carolina,Romance,Brasil,Mila Mello,Brasileira,Feminino,de 40 a 50 anos,Brasil,Caravana,Brasil,www.caravanagrupoeditorial.com.br,BR,Não,Não,Não
2024,2044 - Transcendente: uma viagem no tempo,Romance,Brasil,Adnelson Campos,Brasileira,Masculino,de 60 a 70 anos,Brasil,Autopublicação,,,BR,Não,Não,Não
2024,22 de Espessura útil rasgada,Conto,Portugal,Pedro Amor P. Palma,Portuguesa,Masculino,de 30 a 40 anos,Portugal,Chiado,Portugal,https://chiadobooks.com/,PT,Não,Não,Não
2024,3 em 1,Poesia,Portugal,Filipe J. D. Pereira,Portuguesa,Masculino,de 60 a 70 anos,Portugal,Perfil Criativo,Portugal,https://shop.autores.club/pt/,PT,Não,Não,Não
